text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja
about_josh_foster,Dr. Josh Foster helped us out with the decision tree regarding ventilation in warm conditions,Kredit til Dr. Josh Foster,Dr. Josh Foster heeft geholpen met de adviezen omtrent gebruik ventilator.,Dr Josh Foster hjälpte oss med beslutsträdet när ventilation är önskvärt i varma förhållanden.,Dr. Josh Foster helped us out with the decision tree when ventilator use was beneficial in warm conditions,Ο Δρ. Josh Foster μας βοήθησε με το δέντρο αποφάσεων σχετικά με την επίδραση του αέρα/αερισμού σε θερμές συνθήκες.,Il Dr. Josh Foster ci ha aiutato con l'albero delle decisioni relativo all'uso del ventilatore in condizioni di caldo,"Dr. Josh Foster hat uns mit dem Entscheidungsbaum geholfen, wenn die Verwendung eines Lüfters unter warmen Bedingungen von Vorteil ist.",El Dr. Josh Foster ayudó con el árbol de decisiones cuando el uso del ventilador es benéfico en condiciones cálidas,Josh Foster nous a aidé pour l'arbre de décision concernant la ventilation sous des conditions de chaleur,Dr. Josh Foster helped us out with the decision tree regarding ventilation in warm conditions,Dr. Josh Foster helped us out with the decision tree regarding ventilation in warm conditions
about_nick_ravanelli,Dr. Nicholas Ravanelli helped us out by providing access to the Human Heat Exchange API,Kredit til Dr. Nicholas Ravanelli for Human Heat Exchange API,Dr. Nicholas Ravanelli heeft geholpen met het toegang verlenen tot de Human Heat Exchange API,Dr. Nicholas Ravanelli hjälpte oss med tillgång till API för människans värmebalans,Dr. Nicholas Ravanelli helped us out with providing access to the Human Heat Exchange API,Ο Δρ. Nicholas Ravanelli μας βοήθησε παρέχοντας μας πρόσβαση στο «Human Heat Exchange API».,Il Dr. Nicholas Ravanelli ha fornito il suo aiuto fornendo l'accesso allo Human Heat Exchange API,Dr. Nicholas Ravanelli hat uns mit dem Zugang zum Human Heat Exchange API geholfen,El Dr. Nicholas Ravanelli ayudó a proporcionar acceso a la API de intercambio de calor humano,Nicholas Ravanelli nous a gracieusement donné accès à l'interface de programmation d'application (API) Human Heat Exchange,Dr. Nicholas Ravanelli helped us out by providing access to the Human Heat Exchange API,Dr. Nicholas Ravanelli helped us out by providing access to the Human Heat Exchange API
about_climapp_team,"About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","Over <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">het ClimApp team</a>","Om <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">ClimApp-gruppen</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","Sobre <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","A propos de : <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>","About <a href=""http://www.lth.se/climapp/partners/"" target=""_blank"">the ClimApp team</a>"
info_bar,"This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation.","This bar allows you to set your estimated activity level, clothing level, body characteristics and indicate your perception. This allows ClimApp to better adapt to your situation."
forecast_desc_cold,The forecast of your personal expected cold stress is shown below,Udsigt for kommende timer med dit personlige indeks er vist nedenunder.,De voorspelling van uw persoonlijke verwachte koude-stress is hieronder weergegeven,Prognosen för din personliga förväntade kylstress visas nedanför,Prognosen for din personlige forventede kuldestress vises nedenfor.,Η πρόγνωση της αναμενόμενης προσωπικής σας ψυχρής καταπόνησης φαίνεται παρακάτω.,La previsione del tuo stress termico da freddo è mostrata qui sotto.,Die Prognose Ihrer erwarteten Kältebelastung wird hierunten vorgezeigt.,El pronóstico de tu estrés por frío personal esperado se muestra abajo,La prévision de votre stress hypothermique personnel attendu est montré ci-dessous,The forecast of your personal expected cold strain is shown below,The forecast of your personal expected cold strain is shown below
feedback_tap_adjust,Tap the buttons to adjust the gauge to your thermal experience,"Tryk på knapperne for at tilpasse indikator så det svarer til, hvordan du oplever vejret.",Klik op de knoppen om de meter aan te passen naar uw thermische ervaring.,Tryck på knapparna för att justera mätaren till din termiska upplevelse.,Trykk på knappene for å justere måleren til din termiske opplevelse.,Πατήστε τα κουμπιά για να προσαρμόσετε το μετρητή στις θερμικές σας συνθήκες,Premi i pulsanti per regolare il misuratore rispetto alla tua esperienza termica.,Drücken Sie auf die Knöpfe um den Messer an Ihre thermische Erlebnis zu passen.,Haz click en los botones para ajustar el medidor a tu experiencia térmica.,Appuyer sur les boutons pour ajuster le niveau à votre expérience thermique.,Tap the buttons to adjust the gauge to your thermal experience.,Tap the buttons to adjust the gauge to your thermal experience.
feedback_adaptation_score,Your personal adaptation score,"Din personlige ""tilpasningsfaktor""",Uw persoonlijke aanpassingsscore,Din personliga anpassningssumma,Din personlige tilpasningsscore,Το προσωπικό σου σκορ προσαρμογής,Il tuo punteggio di adattamento,Ihre persönliche Anpassungspunktzahl,Tu puntaje de adaptación personal,Votre score personnel d'adaptation,Your personal adaptation score,Your personal adaptation score
disclaimer_under_development,Several new features will be implemented over the next two years. Therefore all users should be aware that frequent updates and changes to the layout and content might occur.,"Denne applikation er stadig under udvkling. Nye funktionaliteter vil blive tilføjet - af denne årsag informerer vi brugeren om, at hyppige opdateringer og ændringer til indhold og design kan forekomme.",Verschillende nieuwe functies zullen geïmplementeerd worden de komende twee jaar. Alle gebruikers zouden geïnformeerd moeten zijn dat er regelmatig updates en veranderingen optreden van de layout en de inhoud.,Flera funktioner kommer att implementeras under de kommande två åren. Därför bör alla användare informeras om att frekventa uppdateringar och förändringar till layout och innehåll kan inträffa.,Denne applikasjonen er fortsatt under utvikling. Flere nye funksjoner blir implementert i løpet av de neste to årene. Derfor informeres brukere om at hyppige oppdateringer og endringer i layout og innhold kan forekomme.,Η εφαρμογή βρίσκεται ακόμα υπό ανάπτυξη. Κάποια καινούργια στοιχεία θα εφαρμοστούν κατά τη διάρκεια των επόμενων δύο χρόνων. Γι' αυτό όλοι οι χρήστες θα πρέπει να πληροφορηθούν ότι συχνές αλλαγές και ενημερώσεις μπορεί να γίνουν στη διάταξη και το περιεχόμενο.,Numerose nuove funzionalità saranno implementate durante i prossimi due anni. Informiamo pertanto tutti gli utenti che potrebbero essere effettuati frequenti aggiornamenti e cambi al layout e al contenuto,"Diese Applikation ist weiterhin in Entwicklung. Mehere neue Funktionen werden im Laufe der nächsten zwei Jahren implementiert. Deswegen wird der Benutzer darum informiert, dass häufige Aktualisierungen und Änderungen in Layout und Inhalt vorkommen können.","En el transcurso de los próximos dos años serám implementadas varias características nuevas. Por lo tanto, todos los usuarios deben estar informados de que pueden ocurrir actualizaciones frecuentes y cambios en el diseño y el contenido.","Cette application est encore en cours de développement. De nombreuses nouvelles fonctionnalités seront ajoutées au cours des deux prochaines années. Par conséquent, tous les utilisateurs doivent être informés que des mises à jour fréquentes et des changements de la mise en page et du contenu peuvent avoir lieu.",Several new features will be implemented over the next two years. Therefore all users should be aware that frequent updates and changes to the layout and content might occur.,Several new features will be implemented over the next two years. Therefore all users should be aware that frequent updates and changes to the layout and content might occur.
disclaimer_era4cs,"The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in ClimApp is provided on an “as is” basis with no guarantee of completeness, accuracy, usefulness or timeliness.","Det Europæiske Forskningsområde for Klimaservices (ERA4CS) og dennes partnere tager intet ansvar for fejl eller mangler i indholdet af denne app. Informationen er givet på en ""as-is"" basis uden garanti for fuldkommenhed, nøjagtighed, brugbarhed eller aktualitet.","De European Research Area for Climate Services (ERA4CS) en partners zijn niet verantwoordelijk of aansprakelijkheid voor eventuele onjuistheden of missende informatie in de inhoud van de applicatie. De informatie in deze app wordt gegeven op een 'zoals het is' basis met geen garanties dat het compleet, accuraat, nuttig of tijdloos is.","European Research Area for Climate Services (ERA4CS) och dess partners tar ej ansvar eller skyldigheter för fel eller försummelse av innehåll i denna applikation. Informationen tillhandahålls ""som den är"" -basis utan garantier för fullständighet, noggrannhet, användbarhet eller aktualitet.","Det europeiske forskningsområdet for klimatjenester (ERA4CS) og dets partnere påtar seg intet ansvar for eventuelle feil eller mangler i innholdet i denne applikasjonen. Informasjonen i denne appen blir gitt på en ""as-is"" basis uten garantier for fullstendighet, nøyaktighet, brukbarhet eller aktualitet.","Ο Ευρωπαϊκός Ερευνητικός Χώρος για τις Κλιματικές Υπηρεσίες (ERA4CS) και οι συνεργάτες τους δεν έχουν καμία ευθύνη για τα όποια λάθη ή παραλείψεις στο περιεχόμενο της εφαρμογής. Οι πληροφορίες που περιέχονται σε αυτήν την εφαρμογή παρέχονται ""ως έχουν"" χωρίς εγγυήσεις πληρότητας, ακρίβειας, χρησιμότητας ή επικαιρότητας.","L’area di ricerca europea per i servizi climatici (ERA4CS) e i suoi partner non si assumono alcuna responsabilità od obbligazione per ogni errore od omissione nel contenuto di questa applicazione. Le informazioni contenute in questa app sono fornite “così come sono” senza alcuna garanzia di completezza, accuratezza, utilità o tempismo.","Das ""European Research Area for Climate Services"" (ERA4CS) und seine Partner nehmen keine Verantwortung für eventuelle Fehler und Mängel im Inhalt dieser Applikationen an. Die Informationen in dieser App werden auf ein ""as-is""-basis ohne Garantien für Vollständigkeit, Genauigkeit, Verwenbarkeit oder Aktualität gegeben","El Área Europea de Investigación para los Servicios Climáticos (ERA4CS) y sus socios no asumen ninguna responsabilidad u obligación por cualquier error u omisión en el contenido de esta aplicación. La información contenida en esta app se proporciona ""tal como está"", sin garantías de integridad, exactitud, utilidad u oportunidad.","Le centre européen de recherche pour les services climatiques (ERA4CS) et ses partenaires ne prennent aucune responsabilité ou engagement en cas d'erreurs ou d'omissions dans le contenu de cette application. Les informations contenues dans cette app sont fournies telles qu'elles sans garantie d'exhaustivité, d'exactitude, d'utilité ou de ponctualité.","The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in ClimApp is provided on an “as is” basis with no guarantee of completeness, accuracy, usefulness or timeliness.","The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in ClimApp is provided on an “as is” basis with no guarantee of completeness, accuracy, usefulness or timeliness."
disclaimer_privacy_policy,"Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement</a>","Læs venligst vores <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> privatlivspolitik (Engelsk).</a>","De privacyverklaring kunt u <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">hier</a> lezen","Vänligen läs vår <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> sekretesspolicy.</a>","Vennligst les <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> personvernerklæringen</a>","Παρακαλούμε να διαβάσετε τη <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> δήλωση για την προστασία των προσωπικών δεδομένων.</a>","Si prega di leggere la nostra <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">informativa sulla privacy</a>","Lesen Sie bitte unsere <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">Privatlebenerklärung</a>","Por favor lee nuestra <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">declaración de privacidad</a>","Veuillez lire notre <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">déclaration de confidentialité</a>","Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement</a>","Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement</a>"
